#2409 - Bahmut

#owner = GOL
#controller = GOL
culture = mishary
religion = sunni
hre = no
base_tax = 2 
base_production = 2
trade_goods = iron
base_manpower = 1
capital = "Bahmut"
is_city = no
#add_core= GOL



discovered_by = high_american 
discovered_by = RED
discovered_by = high_american 
discovered_by = RED
discovered_by = indian
discovered_by = indian
#discovered_by = nomad_group


# = {
	#owner = CRI
	#controller = CRI 
	#add_core= CRI
	 
#} # Golden Horde destroyed by Crimea
# = {
	#owner = RUS
	#controller = RUS
	#add_core= RUS
	 
#} # Battle of Molodi
# = { revolt = { type = anti_tax_rebels size = 2 name = "Stepan Razin" } #controller = REB unrest = 6 } # Razin rebellion
# = { revolt = { } #controller = RUS unrest = 0 } # Razin captured
# = { revolt = { type = anti_tax_rebels size = 2 name = "Yemelyan Pugachev" } #controller = REB unrest = 6 } # Pugachev rebellion
# = { revolt = {} #controller = RUS unrest = 0 } # Pugachev is captured


native_size = 5
native_ferocity = 1
native_hostileness = 3
