# 2111 - Hetu Ala

#owner = MJZ
#controller = MJZ
#add_core= MJZ
culture = manchu
religion = confucianism
capital = "Hetu Ala"
trade_goods = iron
hre = no
base_tax = 4 
base_production = 4
base_manpower = 5
is_city = no
#estate = #estate_nomadic_tribes



discovered_by = chinese
#discovered_by = nomad_group


# = {
	#owner = MCH
	#controller = MCH
	#add_core= MCH
	
#} # The Later Jin Khanate
# = {
	#owner = QNG
	#controller = QNG
	#add_core= QNG
	
#} # The Qing Dynasty
# = { discovered_by = SPA }

native_size = 5
native_ferocity = 1
native_hostileness = 3
discovered_by = indian
