#4204 - Anding

#owner = SYG
#controller = SYG
#add_core= SYG
culture = oirats
religion = vajrayana
capital = "Anding"
trade_goods = wool
hre = no
base_tax = 1 
base_production = 1
base_manpower = 2
is_city = no

discovered_by = chinese
discovered_by = indian
#discovered_by = nomad_group


# = {
	#owner = CHG
	#controller = CHG
#}
# = {
	#owner = KAS
	#controller = KAS
	#add_core= KAS
#}
# = {
	#controller = KSD
	#owner = KSD
	#add_core= KSD 
#}
# = { discovered_by = SPA } #Ferdinand Verbiest
# = {
	#owner = ZUN
	#controller = ZUN
#} #Zunghar invasion of Tibet
# = {
	#owner = KSD
	#controller = KSD
	#add_core= KSD
#}
# = {
	#owner = QNG
	#controller = QNG
	#add_core= QNG
#} # Qinghai conquered by Qing
# = { revolt_risk = 7 } # Rebellion aginst the Chinese
# = { revolt_risk = 0 }


native_size = 5
native_ferocity = 1
native_hostileness = 3
discovered_by = NRU 
discovered_by = NRA
