#1248 - Maldives

#owner = DGL
#controller = DGL
#add_core= DGL
culture = malayalam
religion = sunni
capital = "Malé"
trade_goods = fish
hre = no
base_tax = 2 
base_production = 2
base_manpower = 1
is_city = no
discovered_by = indian
discovered_by = indian
discovered_by = east_african
discovered_by = indian

# = { discovered_by = POR }
# = { #owner = POR #controller = POR #add_core= POR }
# = { 
	#owner = DGL
	#controller = DGL
	
#}	# Independence is restored under Muhammad Thakurufaanu Al-Azam
# = { #owner = NED #controller = NED #add_core= NED }
# = {
	#owner = DGL
	#controller = DGL 
#} # The Dutch are driven out by the British


native_size = 5
native_ferocity = 1
native_hostileness = 3
discovered_by = NRU 
discovered_by = NRA
