#4197 - Huangzhou

#owner = MNG
#controller = MNG
#add_core= MNG
culture = hubei
religion = confucianism
capital = "Huangzhou"
trade_goods = unknown
hre = no
base_tax = 1
base_production = 1
base_manpower = 1
is_city = no
#add_core= CHC
#add_core= CXI


discovered_by = chinese
#discovered_by = nomad_group

# = { revolt = { type = anti_tax_rebels size = 2 } #controller = REB } # Zhang Xianzhong rebellion
# = { revolt = { } unrest = 0 #controller = CXI } # The Xi dynasty of Zhang Xianzhong
# = {
	#owner = QNG
	#controller = QNG
	#add_core= QNG
#}
# = {  }


native_size = 5
native_ferocity = 1
native_hostileness = 3
discovered_by = NRU 
discovered_by = NRA
