#146 - Athens

#owner = VEN
#controller = VEN
culture = greek
religion = hellenic_pagan
capital = "Athens"
trade_goods = fish
hre = no
base_tax = 1
base_production = 1
base_manpower = 1
is_city = no
#add_core= VEN
#add_core= ATH



discovered_by = indian
discovered_by = indian
discovered_by = high_american 
discovered_by = RED
discovered_by = high_american 
discovered_by = RED
#discovered_by = nomad_group


# = { #add_core= BYZ }
# = { #owner = ATH #controller = ATH  }
# = { #add_core= TUR } # The fall of the Byzantine Empire
# = { #owner = TUR #controller = TUR }
# = {  }
# = { unrest = 5  } # General discontent with the Janissaries' dominance
# = { unrest = 0 }
# = { unrest = 5 } # General discontent and occasional rebellions
# = { unrest = 2 }
# = { unrest = 0 }
# = { base_tax = 3 base_production = 3 } #The Decentralizing Effect of the Provincial System
# = {
	#add_core= GRE 
#}


native_size = 5
native_ferocity = 1
native_hostileness = 3
