# 2016 - Bungi = Red River Country

#owner = ASI
#controller = ASI
#add_core= ASI
is_city = no
culture = nakota
religion = totemism
capital = "Bungi"
trade_goods = unknown
hre = no
base_tax = 4
base_production = 4
base_manpower = 2
native_size = 5
native_ferocity = 2
native_hostileness = 6



discovered_by = western 
discovered_by = eastern 
discovered_by = muslim 
discovered_by = ottoman
discovered_by = nomad_group


# = {
	#owner = SIO
	#controller = SIO
	#add_core= SIO
	
	culture = dakota 
} 
# = { discovered_by = FRA } # La Vérendrye
# = {
	#owner = GBR
	#controller = GBR
	#add_core= GBR
	capital = "Grandes Fourches"
	culture = english
	religion = protestant
} #French fur traders from Canada establish trading posts (part of Hudson Bay territory at the time, Hudson Bay watershed)
# = {
	#owner = USA
	#controller = USA
	#add_core= USA
	
	culture = american
	religion = protestant
} #ceded in the treaty of 1818, not renamed Grand Forks until 1870
