#266 - Bohemia

#owner = BOH
#controller = BOH
#add_core= BOH
capital = "Praha"
culture = czech
religion = catholic
trade_goods = unknown
hre = no
base_tax = 1
base_production = 1
base_manpower = 1
is_city = no
fort_15th = yes
discovered_by = KAZ
discovered_by = CRI
discovered_by = GOL
discovered_by = AST
discovered_by = QAS
discovered_by = high_american 
discovered_by = RED
discovered_by = high_american 
discovered_by = RED
discovered_by = indian
discovered_by = indian

extra_cost = 10

center_of_trade = 2


native_size = 5
native_ferocity = 1
native_hostileness = 3
