#297 - Bryansk

#owner = LIT
#controller = LIT
culture = ryazanian
religion = orthodox 
hre = no
base_tax = 1
base_production = 1
trade_goods = unknown
base_manpower = 1
add_local_autonomy = 50
capital = "Bryansk"
is_city = no
#add_core= LIT
#add_core= SMO



discovered_by = high_american 
discovered_by = RED
discovered_by = indian

# = { #owner = RUS #controller = RUS #add_core= RUS  add_local_autonomy = -50 } # Treaty of the Annunciation
# = { unrest = 5 } # "Time of troubles"
# = { #controller = PLC } # Polish occupation
# = { unrest = 0 } # Order returned, Romanov dynasty
# = { #controller = RUS } # Truce of Deulino
# = { unrest = 8 } # Stepan Razin
# = { unrest = 0 } # Razin is captured
# = { unrest = 5 } # Emelian Pugachev, Cossack insurrection.
# = { unrest = 0 } # Pugachev is captured.


native_size = 5
native_ferocity = 1
native_hostileness = 3
