#59 - Wittenberg

#owner = SAX
#controller = SAX
culture = saxon
religion = catholic
capital = "Wittenberg"
trade_goods = unknown
hre = no
base_tax = 1
base_production = 1
base_manpower = 1
is_city = no
#add_core= SAX
discovered_by = high_american 
discovered_by = RED
discovered_by = high_american 
discovered_by = RED
discovered_by = indian
discovered_by = indian


# = { #owner = THU #controller = THU #add_core= THU }
# = {
	religion = protestant
	reformation_center = protestant
#}
#  = {
	#owner = SAX
	#controller = SAX
	
#}
#  = { unrest = 5 } # Peasant revolt
#  = { unrest = 0 }
# = { hre = no } # The Holy Roman Empire is dissolved
#  = {
	#owner = PRU
	#controller = PRU
	#add_core= PRU
	
#} # Congress of Vienna


native_size = 5
native_ferocity = 1
native_hostileness = 3
