#Turov

#owner = LIT
#controller = LIT 
culture = byelorussian
religion = orthodox
hre = no
base_tax = 1
base_production = 1
trade_goods = unknown
base_manpower = 1
capital = "Turov"
is_city = no
#add_core= LIT



discovered_by = high_american 
discovered_by = RED
discovered_by = high_american 
discovered_by = RED
discovered_by = indian
discovered_by = indian
#discovered_by = nomad_group


# = {
	#owner = PLC
 	#controller = PLC
 	#add_core= PLC
#} # Union of Lublin
# = {
	revolt = { type = nationalist_rebels size = 1 }
	#controller = REB
	#add_core= ZAZ
#} # Ukrainian Cossack
# = { revolt = {} #controller = PLC remove_core = ZAZ }
# = { #controller = RUS } # Occupied, Pinsk and castle completely destroyed 
# = { #controller = PLC } # Estimated
# = {
	#owner = RUS
	#controller = RUS
	#add_core= RUS
#}
# = { unrest = 5 } # Kosciuszko uprising, minimize the Russian influence
# = { unrest = 0 }


native_size = 5
native_ferocity = 1
native_hostileness = 3
