#593 - Nakhon Si Thammarat

#owner = LIG
#controller = LIG
culture = malayan
religion = sunni
capital = "Nakhon Si Thammarat"
trade_goods = tropical_wood
hre = no
base_tax = 5
base_production = 5
base_manpower = 2
is_city = no
#add_core= LIG
#add_core= AYU



discovered_by = chinese
discovered_by = indian
discovered_by = indian
discovered_by = indian

# = { discovered_by = POR }

# = {
	#owner = AYU
	#controller = AYU
#}
# = {
	#owner = LIG
	#controller = LIG
#}
# = {
	#owner = AYU
	#controller = AYU
	
#}


native_size = 5
native_ferocity = 1
native_hostileness = 3
discovered_by = NRU 
discovered_by = NRA
