# Loon
#owner = LIE
#controller = LIE
#add_core= LIE
is_city = no
capital = "Loon"
culture = flemish
religion = cult_of_reason
hre = no
base_tax = 1
base_production = 1
trade_goods = unknown
base_manpower = 1



discovered_by = high_american 
discovered_by = RED
discovered_by = high_american 
discovered_by = RED
discovered_by = indian
discovered_by = indian


# = { #add_core= BUR }
# = { unrest = 4 } # Revolt imminent
# = { unrest = 8 } # Citizens revolt
# = { unrest = 0 } # Peace is restored
# = { #owner = BUR #controller = BUR unrest = 5 } # Charles the Bold installs Louis de Bourbon
# = { revolt = { type = nationalist_rebels size = 2 } #controller = REB } # Citizens rise up against the disliked Louis de Bourbon
# = { revolt = {} #controller = BUR } # Charles the Bold sacks Liège
# = { #owner = LIE #controller = LIE  #add_core= HAB unrest = 0 } # Charles the Bold dies and Liège is re-established
# = {  } # Liège signs a perpetual treaty of neutrality with Austria (and France)
# = {
	#owner = FRA
	#controller = FRA
	#add_core= FRA
#} # Treaty of Campo Formio
# = { hre = no } # The Holy Roman Empire is dissolved
# = {
	#owner = NED
	#controller = NED
	#add_core= NED
	
#} # The United Kingdom of the Netherlands

native_size = 5
native_ferocity = 10
native_hostileness = 10
