#846 - Yucatan

#owner = COC 
#controller = COC
culture = yucatec
religion = mesoamerican_religion
capital = "Sotuta" 
trade_goods = unknown
hre = no 
base_tax = 1
base_production = 1
base_manpower = 1
is_city = no
#add_core= COC



discovered_by = western 
discovered_by = eastern 
discovered_by = muslim 
discovered_by = ottoman
discovered_by =  mesoamerican

# = { discovered_by = SPA } # Francisco Hernandez de Cordoba

# = {
	#owner = SPA 
	#controller = SPA
	#add_core= SPA
	unrest = 5
} # final defeat of eastern Yucatan alliance
# = { 
	unrest = 0
	culture = castillian
	religion = catholic 
}
# = { unrest = 6 } # Natives revolt against Spanish rule, led by CapEk 
# = { unrest = 0 } 
# = { #owner = MEX #add_core= MEX #controller = SPA } # Mexican War of Independence


native_size = 5
native_ferocity = 1
native_hostileness = 3
