# 2190 - Qaraqorum

#owner = OIR
#controller = OIR
#add_core= OIR
culture = khalkha
religion = tengri_pagan_reformed
capital = "Qaraqorum"
trade_goods = cloth
hre = no
base_tax = 3 
base_production = 3
base_manpower = 3
is_city = no



discovered_by = chinese
#discovered_by = nomad_group


# = {
	#owner = KHA
	#controller = KHA
	#add_core= KHA
#} # Mark?rgis Khan of the Gold Family rises to power after Esen's death.
# = {
	#owner = KLK
	#controller = KLK
	#add_core= KLK
#}
# = {
	#owner = ZUN
	#controller = ZUN
#}
# = {
	#owner = QNG
	#controller = QNG
	#add_core= QNG
#} # Outer Mongolia intergrated into Qing
# = { discovered_by = SPA }

native_size = 5
native_ferocity = 1
native_hostileness = 3
discovered_by = indian
