#1833 - Ji'an

#owner = MNG
#controller = MNG
#add_core= MNG
culture = gan
religion = confucianism
capital = "Ji'an"
trade_goods = unknown
hre = no
base_tax = 1
base_production = 1
base_manpower = 1
is_city = no
#add_core= NNG



discovered_by = chinese
#discovered_by = nomad_group

# = { discovered_by = SPA }

# = {
	#owner = QNG
	#controller = QNG
	#add_core= QNG
#}
# = {
	#controller = MNG 
	#owner = MNG
#}
# = {
	#owner = QNG
	#controller = QNG
#}
# = {  }
# = { #controller = CZH }
# = { #controller = QNG }


native_size = 5
native_ferocity = 1
native_hostileness = 3
discovered_by = NRU 
discovered_by = NRA
