# 201 Provence - Principal cities: Aix-en-Provence, Marseille

#owner = PRO
#controller = PRO 
capital = "Aix-en-Provence"
is_city = no
culture = occitain
religion = cult_of_reason
hre = no
base_tax = 1
base_production = 1
trade_goods = unknown
base_manpower = 1
#add_core= PRO
fort_15th = yes
discovered_by = high_american 
discovered_by = RED
discovered_by = high_american 
discovered_by = RED
discovered_by = indian
discovered_by = indian
extra_cost = 10

add_permanent_province_modifier = {
	name = rhone_estuary_modifier
	duration = -1
}



native_size = 5
native_ferocity = 10
native_hostileness = 10
