#580 - Kale

#owner = AVA
#controller = AVA
culture = chin
religion = animism
capital = "Kale"
trade_goods = grain
hre = no
base_tax = 3
base_production = 3
base_manpower = 1
is_city = no
#add_core= AVA



discovered_by = chinese
discovered_by = indian


# = {
	#owner = SST
	#controller = SST
	#add_core= SST
	remove_core = AVA
#}
# = { #add_core= TAU }
# = { #controller = TAU }
# = {	
	#owner = TAU
	remove_core = SST
#}
# = { discovered_by = GBR }


native_size = 5
native_ferocity = 1
native_hostileness = 3
