#919 - Chickasaw

#owner = CHI
#controller = CHI
culture = chickasaw
religion = totemism
capital = "Chickasaw"
trade_goods = unknown
hre = no
base_tax = 4
base_production = 4
base_manpower = 2
is_city = no
#add_core= CHI
native_size = 20
native_ferocity = 8
native_hostileness = 2



discovered_by = western 
discovered_by = eastern 
discovered_by = muslim 
discovered_by = ottoman
discovered_by = nomad_group

# = { discovered_by = SPA  # Hernando De Soto
# = { discovered_by = FRA  # Robert Cavelier de La Salle

#= {
	#owner = USA
	#controller = USA
	#add_core= USA
	culture = american
	religion = protestant
 #Treaty of Hopewell (with the Chickasaw), come under US authority

discovered_by = GBR
