#853 - Huastec

#owner = AZT
#controller = AZT
#add_core= AZT
culture = aztek 
religion = nahuatl
capital = "Huastec"
trade_goods = unknown
hre = no 
base_tax = 1
base_production = 1
base_manpower = 1
is_city = no



discovered_by = AZT
discovered_by = MAY
discovered_by = ZAP
discovered_by = western 
discovered_by = eastern 
discovered_by = muslim 
discovered_by = ottoman
discovered_by =  mesoamerican

# = { discovered_by = SPA } 

# = {
	#owner = SPA 
	#controller = SPA
	#add_core= SPA
	religion = catholic
	culture = castillian
} # The last Aztec emperor surrendered, end of the Aztec Empire
# = { #owner = MEX #add_core= MEX #controller = SPA } # Mexican War of Independence
# = { #controller = MEX } # Conquered by José María Morelos


native_size = 5
native_ferocity = 1
native_hostileness = 3
