# 2109 - Boduna

#owner = KRC
#controller = KRC
#add_core= KRC
culture = chahar
religion = vajrayana
capital = "Boduna"
trade_goods = iron
hre = no
base_tax = 3
base_production = 3
base_manpower = 3
is_city = no



discovered_by = chinese
#discovered_by = nomad_group


# = {	#owner = MCH
	#controller = MCH
	#add_core= MCH
	remove_core = KRC
#} # The Later Jin Khanate
# = {	#owner = QNG
	#controller = QNG
	#add_core= QNG
	remove_core = MCH
#} # The Qing Dynasty
# = { discovered_by = SPA }

native_size = 5
native_ferocity = 1
native_hostileness = 3
