#454 - Samarkand

#owner = TIM
#controller = TIM
culture = uzbehk
religion = sunni
capital = "Samarkand"
trade_goods = spices
hre = no
base_tax = 7 
base_production = 7
base_manpower = 7
is_city = no
#add_core= TIM



discovered_by = KAS
discovered_by = indian
discovered_by = indian
#discovered_by = nomad_group
discovered_by = indian

extra_cost = 10

center_of_trade = 2



# = { discovered_by = ENG }
# = { discovered_by = FRA }
# = { discovered_by = GBR }



native_size = 5
native_ferocity = 1
native_hostileness = 3
